開始時刻,終了時刻,経過時間,評価除外フラグ,NO.,顧客コード,商品コード,電話番号,メールアドレス
14:27:49,14:28:16,00分26秒,,0026,NCNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNCNNNNN,NNNNNNNNNNNNNNN
14:27:49,14:28:17,00分28秒,,0027,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNN
14:27:49,14:28:18,00分28秒,,0028,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNN
14:27:49,14:28:20,00分31秒,,0029,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNN
14:27:49,14:28:23,00分34秒,,0030,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNN
