開始時刻,終了時刻,経過時間,評価除外フラグ,NO.,顧客コード,商品コード,電話番号,メールアドレス
17:33:37,17:33:39,00分01秒,,0001,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNN
17:33:37,17:33:39,00分02秒,,0002,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNN
17:33:37,17:33:39,00分02秒,,0003,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNN
17:33:37,17:33:39,00分02秒,,0004,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNN
17:33:37,17:33:40,00分02秒,,0005,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNN
17:33:37,17:33:40,00分02秒,,0006,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNN
17:33:37,17:33:40,00分03秒,,0007,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNN
17:33:37,17:33:40,00分03秒,,0008,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNN
17:33:37,17:33:41,00分03秒,,0009,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNN
17:33:37,17:33:41,00分03秒,,0010,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNN
17:33:37,17:33:41,00分04秒,,0011,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNN
