開始時刻,終了時刻,経過時間,評価除外フラグ,NO.,顧客コード,商品コード,電話番号,メールアドレス
17:34:01,17:34:02,00分01秒,,0010,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNN
17:34:01,17:34:02,00分01秒,,0011,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNN
17:34:01,17:34:02,00分02秒,,0012,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNN
17:34:01,17:34:03,00分02秒,,0013,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNN
17:34:01,17:34:03,00分02秒,,0014,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNN
