開始時刻,終了時刻,経過時間,評価除外フラグ,NO.,顧客コード,商品コード,電話番号,メールアドレス
16:38:55,16:38:56,00分01秒,,0014,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNN
16:38:55,16:38:56,00分02秒,,0015,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNN
16:38:55,16:38:57,00分02秒,,0016,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNN
16:38:55,16:38:57,00分02秒,,0017,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNN
16:38:55,16:38:57,00分03秒,,0018,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNN
