開始時刻,終了時刻,経過時間,評価除外フラグ,NO.,顧客コード,商品コード,電話番号,メールアドレス
12:23:21,12:23:53,00分32秒,,0015,NNNNNNNNNN,NNNNNNNNNNNNNCN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNN
12:23:21,12:23:55,00分34秒,,0016,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNN
12:23:21,12:23:57,00分36秒,,0017,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNN
12:23:21,12:23:58,00分37秒,,0018,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNN
12:23:21,12:23:58,00分37秒,,0019,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNN
