開始時刻,終了時刻,経過時間,評価除外フラグ,NO.,顧客コード,商品コード,電話番号,メールアドレス
16:39:48,16:39:55,00分06秒,,0019,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNN
16:39:48,16:39:55,00分07秒,,0020,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNN
16:39:48,16:39:55,00分07秒,,0021,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN
16:39:48,16:39:55,00分07秒,,0022,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNN
16:39:48,16:39:55,00分07秒,,0023,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNN
16:39:48,16:39:56,00分08秒,,0024,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNN
16:39:48,16:39:57,00分09秒,,0025,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNN
